地域コード(文字列型),地域コード(数値型),地方,都道府県,地域,緯度,経度,mysub_code,mysub_name
405,405,東海,岐阜,岐阜美濃,35.544,136.907,432.0,岐阜県美濃中西部
410,410,東海,静岡,静岡伊豆,34.976,138.946,440.0,静岡県伊豆
411,411,東海,静岡,静岡東部,35.161,138.676,441.0,静岡県東部
415,415,東海,静岡,静岡中部,34.867,138.257,442.0,静岡県中部
416,416,東海,静岡,静岡西部,34.717,137.851,443.0,静岡県西部
420,420,東海,愛知,愛知東部,34.898,137.497,450.0,愛知県東部
425,425,東海,愛知,愛知西部,35.053,137.012,451.0,愛知県西部
430,430,東海,三重,三重北中部,34.881,136.584,460.0,三重県北部
435,435,東海,三重,三重南部,34.211,136.337,462.0,三重県南部
440,440,近畿,滋賀,滋賀北部,35.38,136.278,500.0,滋賀県北部
445,445,近畿,滋賀,滋賀南部,35.067,136.025,501.0,滋賀県南部
450,450,近畿,京都,京都北部,35.474,135.385,510.0,京都府北部
455,455,近畿,京都,京都南部,35.011,135.768,511.0,京都府南部
460,460,近畿,大阪,大阪北部,34.816,135.568,520.0,大阪府北部
465,465,近畿,大阪,大阪南部,34.483,135.423,521.0,大阪府南部
470,470,近畿,兵庫,兵庫北部,35.544,134.82,530.0,兵庫県北部
475,475,近畿,兵庫,兵庫南部,34.853,134.931,531.0,兵庫県南東部
480,480,近畿,奈良,奈良,34.396,135.857,540.0,奈良県
490,490,近畿,和歌山,和歌山北部,34.065,135.254,550.0,和歌山県北部
495,495,近畿,和歌山,和歌山南部,33.678,135.348,551.0,和歌山県南部
500,500,中国,鳥取,鳥取東部,35.501,134.235,560.0,鳥取県東部
505,505,中国,鳥取,鳥取中・西部,35.495,133.693,562.0,鳥取県中部
510,510,中国,島根,島根東部,35.367,132.754,570.0,島根県東部
515,515,中国,島根,島根西部,34.899,132.079,571.0,島根県西部
514,514,中国,島根,島根隠岐,36.209,133.321,575.0,島根県隠岐
520,520,中国,岡山,岡山北部,35.069,134.004,580.0,岡山県北部
525,525,中国,岡山,岡山南部,34.655,133.919,581.0,岡山県南部
530,530,中国,広島,広島北部,34.666,132.704,590.0,広島県北部
535,535,中国,広島,広島南部,34.341,132.907,592.0,広島県南西部
540,540,中国,山口,山口北部,34.408,131.399,700.0,山口県北部
545,545,中国,山口,山口中・東部,34.05,131.804,704.0,山口県中部
541,541,中国,山口,山口西部,33.957,130.941,702.0,山口県西部
550,550,四国,徳島,徳島北部,34.025,134.259,600.0,徳島県北部
555,555,四国,徳島,徳島南部,33.734,134.535,601.0,徳島県南部
560,560,四国,香川,香川,34.342,134.046,610.0,香川県東部
570,570,四国,愛媛,愛媛東予,33.919,133.181,620.0,愛媛県東予
